time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 00:00:03.796999680,518.2
2017-08-21 00:01:08.644000256,482.0
2017-08-21 00:02:12.951000064,473.8
2017-08-21 00:03:17.189000192,466.5
2017-08-21 00:04:22.203999744,486.7
2017-08-21 00:04:55.728999936,514.2
2017-08-21 00:06:00.555999744,484.5
2017-08-21 00:07:06.320999936,437.1
2017-08-21 00:08:11.378000384,399.6
2017-08-21 00:09:15.736999936,376.5
2017-08-21 00:10:19.973000192,508.1
2017-08-21 00:10:54.904999936,468.2
2017-08-21 00:11:58.480999936,449.7
2017-08-21 00:13:02.878999552,451.3
2017-08-21 00:14:07.504999936,459.1
2017-08-21 00:15:11.814000128,484.7
2017-08-21 00:16:16.600000000,477.0
2017-08-21 00:17:21.105999872,487.8
2017-08-21 00:17:54.892999680,451.4
2017-08-21 00:18:59.126000128,450.5
2017-08-21 00:20:03.453000192,477.3
2017-08-21 00:21:07.770999808,461.6
2017-08-21 00:22:14.203999744,452.7
2017-08-21 00:23:18.845000192,438.0
2017-08-21 00:24:23.151000064,360.4
2017-08-21 00:24:56.031000064,377.3
2017-08-21 00:26:00.500999680,383.8
2017-08-21 00:27:05.126000128,345.3
2017-08-21 00:28:09.845000192,377.8
2017-08-21 00:29:14.451000320,466.2
2017-08-21 00:30:18.939000320,358.5
2017-08-21 00:31:23.244999680,348.1
2017-08-21 00:31:55.639000064,402.4
2017-08-21 00:32:59.953999872,451.0
2017-08-21 00:34:04.673000448,424.2
2017-08-21 00:35:08.909999616,418.8
2017-08-21 00:36:13.400000000,430.4
2017-08-21 00:37:17.848999936,450.9
2017-08-21 00:38:22.279999488,436.6
2017-08-21 00:38:54.885000192,389.6
2017-08-21 00:39:59.569999872,383.9
2017-08-21 00:41:03.808999936,434.2
2017-08-21 00:42:08.550000128,397.0
2017-08-21 00:43:13.130999808,378.5
2017-08-21 00:44:18.288000000,367.1
2017-08-21 00:45:22.525000192,358.9
2017-08-21 00:45:54.896000000,405.7
2017-08-21 00:46:59.135000064,382.0
2017-08-21 00:48:04.558000128,374.0
2017-08-21 00:49:09.213000192,384.3
2017-08-21 00:50:13.504999936,390.2
2017-08-21 00:51:17.734000128,361.4
2017-08-21 00:52:22.029999616,384.6
2017-08-21 00:52:54.871000064,374.8
2017-08-21 00:54:00.440000000,359.4
2017-08-21 00:55:04.677000192,373.0
2017-08-21 00:56:09.007000064,368.3
2017-08-21 00:57:13.351000064,354.3
2017-08-21 00:58:17.808999936,347.9
2017-08-21 00:59:22.270000128,352.7
2017-08-21 00:59:54.868000256,332.4
2017-08-21 01:00:59.394999808,334.4
2017-08-21 01:02:03.652999680,321.1
2017-08-21 01:03:07.916999680,323.1
2017-08-21 01:04:12.508999680,331.4
2017-08-21 01:05:16.736000000,338.0
2017-08-21 01:06:21.270000128,302.0
2017-08-21 01:06:54.862000128,306.6
2017-08-21 01:07:59.460000256,302.3
2017-08-21 01:09:03.808000000,308.4
2017-08-21 01:10:09.392999424,305.3
2017-08-21 01:11:13.650999808,304.9
2017-08-21 01:12:17.878999552,293.9
2017-08-21 01:13:22.546999808,295.7
2017-08-21 01:13:54.854000128,298.0
2017-08-21 01:14:59.553999872,281.4
2017-08-21 01:16:03.812999680,285.2
2017-08-21 01:17:08.097999872,303.0
2017-08-21 01:18:12.455000064,265.7
2017-08-21 01:19:16.687000064,293.8
2017-08-21 01:20:21.484000256,270.9
2017-08-21 01:20:54.852000256,258.1
2017-08-21 01:21:59.265999872,267.2
2017-08-21 01:23:03.816999936,269.1
2017-08-21 01:24:08.053000192,265.1
2017-08-21 01:25:12.540999680,254.4
2017-08-21 01:26:16.826000384,240.7
2017-08-21 01:27:21.414000128,256.9
2017-08-21 01:27:54.849999872,246.7
2017-08-21 01:28:59.414000128,243.1
2017-08-21 01:30:04.569000448,232.4
2017-08-21 01:31:10.348000256,234.1
2017-08-21 01:32:14.696000000,232.3
2017-08-21 01:33:18.921999872,220.3
2017-08-21 01:34:23.217999872,223.9
2017-08-21 01:34:57.052000256,223.1
2017-08-21 01:36:01.288999936,215.0
2017-08-21 01:37:05.566000128,198.9
2017-08-21 01:38:09.803999744,198.3
2017-08-21 01:39:14.619999744,228.3
2017-08-21 01:40:18.914999808,205.5
2017-08-21 01:41:23.203000320,205.0
2017-08-21 01:41:55.326999552,202.6
2017-08-21 01:42:59.564000256,179.9
2017-08-21 01:44:03.792000000,192.0
2017-08-21 01:45:08.096999936,200.4
2017-08-21 01:46:12.424999936,186.9
2017-08-21 01:47:17.451000320,205.2
2017-08-21 01:48:21.741000192,180.8
2017-08-21 01:48:54.832000000,170.5
2017-08-21 01:49:59.069000192,172.6
2017-08-21 01:51:03.343000064,175.4
2017-08-21 01:52:07.637000192,170.3
2017-08-21 01:53:12.328000000,168.3
2017-08-21 01:54:16.555999744,156.6
2017-08-21 01:55:20.808999936,171.8
2017-08-21 01:56:23.772000256,163.5
2017-08-21 01:56:56.251999744,153.6
2017-08-21 01:58:00.504999936,171.7
2017-08-21 01:59:04.739000320,150.7
2017-08-21 02:00:09.354999808,143.2
2017-08-21 02:01:13.581999616,153.8
2017-08-21 02:02:18.779000320,137.6
2017-08-21 02:03:23.366000128,144.3
2017-08-21 02:03:55.489000448,132.8
